CONSTITUENCY,DISTRICT,LDF,UDF,NDA,NOTA,OTHERS,EVM VOTES,POSTAL VOTES,TOTAL VOTES,LEAD,WINNER,%LDF,%UDF,%NDA,%NOTA,%POSTAL,%LEAD
Alappuzha,Alappuzha,73412,61768,21650,1089,527,154149,4297,158446,11644,LDF,46.33250444946543,38.98362849172589,13.663961223382099,0.6873004051853628,2.7119649596708024,7.348875957739545
Ambalapuzha,Alappuzha,61365,50240,22389,591,2436,133382,3639,137021,11125,LDF,44.78510593266726,36.66591252435758,16.339831120777106,0.4313207464549229,2.6557972865473176,8.119193408309675
Aroor,Alappuzha,75617,68604,17479,846,1945,160851,3640,164491,7013,LDF,45.970296247211095,41.706841103768596,10.626113282793588,0.5143138530375523,2.2128870272537706,4.263455143442498
Chengannur,Alappuzha,71502,39409,34620,491,1149,142958,4213,147171,32093,LDF,48.584299896039305,26.777693975035845,23.5236561550849,0.3336255104606206,2.8626563657242254,21.80660592100346
Cherthala,Alappuzha,83702,77554,14562,602,1677,172214,5883,178097,6148,LDF,46.997984244540895,43.54593283435431,8.176443174225282,0.3380180463455308,3.3032560907819897,3.452051410186584
Haripad,Alappuzha,59102,72768,17890,536,327,145585,5038,150623,13666,UDF,39.23836333096539,48.31134687265557,11.877336130604224,0.3558553474568957,3.3447747024026877,9.07298354169018
Kayamkulam,Alappuzha,77348,71050,11413,420,1026,156701,4556,161257,6298,LDF,47.96566970736154,44.06010281724204,7.077522216089845,0.2604538097570958,2.8253037077460204,3.905566890119499
Kuttanadu,Alappuzha,57379,51863,14946,523,925,121355,4281,125636,5516,LDF,45.67082683307333,41.2803655003343,11.896271769238115,0.416281957400745,3.40746282912541,4.390461332739023
Mavelikkara,Alappuzha,71743,47026,30955,519,447,146030,4660,150690,24717,LDF,47.609662220452584,31.207113942531024,20.54217267237375,0.3444156878359546,3.092441436060787,16.40254827792156
Aluva,Ernakulam,54817,73703,15893,939,5076,148130,2298,150428,18886,UDF,36.4406892333874,48.99553274656314,10.56518733214561,0.6242188954184061,1.5276411306405722,12.55484351317574
Angamaly,Ernakulam,55633,71562,8677,669,1456,135412,2585,137997,15929,UDF,40.31464452125771,51.857649079327814,6.287817851112705,0.48479314767712345,1.873229128169453,11.543004558070102
Ernakulam,Ernakulam,34960,45930,16043,712,12453,108434,1664,110098,10970,UDF,31.75352867445367,41.717379062289965,14.571563516140165,0.6466965794110702,1.5113807698595796,9.963850387836292
Kalamassery,Ernakulam,77141,61805,11179,1518,4220,153259,2604,155863,15336,LDF,49.492823826052366,39.65341357474192,7.172324413106382,0.9739322353605411,1.6706979847686751,9.839410251310445
Kochi,Ernakulam,54632,40553,10991,474,22053,126999,1704,128703,14079,LDF,42.44811698251012,31.508978034700046,8.539816476694405,0.36828978345493113,1.323978462040512,10.939138947810074
Kothamangalam,Ernakulam,64234,57629,4638,414,9782,132748,3949,136697,6605,LDF,46.990058304132496,42.158203910839305,3.392905477077039,0.3028596092086878,2.8888710066790053,4.831854393293196
Kunnathunadu,Ernakulam,52351,49636,7218,565,45154,151540,3384,154924,2715,LDF,33.791407399757304,32.03893521984973,4.659058635201776,0.36469494719991735,2.184296816503576,1.7524721799075678
Muvattupuzha,Ernakulam,58264,64425,7527,427,13711,140600,3754,144354,6161,UDF,40.36188813610984,44.629868240575256,5.214264932042063,0.29580060129958297,2.6005514221982073,4.267980104465412
Paravur,Ernakulam,60963,82264,12964,1113,1290,155316,3278,158594,21301,UDF,38.43966354338752,51.8708147849225,8.174331941939796,0.7017919971751768,2.0669129979696583,13.43115124153499
Perumbavoor,Ernakulam,50585,53484,15135,703,24264,140845,3326,144171,2899,UDF,35.08680663933801,37.09761325093119,10.497950350625299,0.4876154011555722,2.3069826802893783,2.0108066115931775
Piravam,Ernakulam,59692,85056,11021,1109,1219,153535,4562,158097,25364,UDF,37.756567170787555,53.79988235070874,6.971036768566133,0.7014680860484387,2.8855702511749115,16.043315179921187
Thrikkakkara,Ernakulam,45510,59839,15483,695,15043,134398,2172,136570,14329,UDF,33.32357033023358,43.81562568646116,11.33704327451124,0.5088965365746503,1.5903932049498426,10.492055356227576
Thrippunithura,Ernakulam,64883,65875,23756,1099,694,155038,1269,156307,992,UDF,41.509977160331914,42.14462564056632,15.198295661742597,0.7031035078403398,0.8118638320740593,0.6346484802344105
Vypin,Ernakulam,53858,45657,13540,525,17016,128169,2427,130596,8201,LDF,41.24016049496156,34.960488835798955,10.367852001592698,0.4020031241385647,1.8584030138748506,6.2796716591626085
Devikulam,Idukki,59049,51201,0,807,4717,114083,1691,115774,7848,LDF,51.00367958263513,44.2249555167827,0.0,0.69704769637397,1.4606042807538826,6.778724065852437
Idukki,Idukki,62368,56795,9286,677,2225,128481,2870,131351,5573,LDF,47.481937708886875,43.23910742971123,7.069607387838691,0.5154129013102299,2.1849852684791133,4.242830279175644
Peerumedu,Idukki,60141,58306,7126,401,1317,125912,1379,127291,1835,LDF,47.246859558020596,45.80528081325467,5.598196258965677,0.31502619980988444,1.083344462687857,1.44157874476593
Thodupuzha,Idukki,47236,67495,21263,674,2139,134167,4640,138807,20259,UDF,34.02998407861275,48.625069340883385,15.31839172376033,0.4855662898845159,3.342770897721296,14.595085262270635
Udumbanchola,Idukki,77381,39076,7208,687,867,122803,2416,125219,38305,LDF,61.79653247510362,31.20612686573124,5.756314936231722,0.5486387848489447,1.9294196567613542,30.59040560937238
Dharmadam,Kannur,95522,45399,14623,400,4303,155212,5035,160247,50123,LDF,59.609228253883074,28.330639575155853,9.125287836901782,0.24961465737268093,3.142024499678621,31.278588678727214
Irikkoor,Kannur,66754,76764,7825,459,714,147404,5112,152516,10010,UDF,43.76852264680427,50.331768470193296,5.1306092475543545,0.3009520312622938,3.3517794854310368,6.563245823389022
