CONSTITUENCY,DISTRICT,LDF,UDF,NDA,NOTA,OTHERS,EVM VOTES,POSTAL VOTES,TOTAL VOTES,LEAD,WINNER,%LDF,%UDF,%NDA,%NOTA,%POSTAL,%LEAD
Alappuzha,Alappuzha,73412,61768,21650,1089,527,154149,4297,158446,11644,LDF,46.33250445,38.98362849,13.66396122,0.687300405,2.71196496,7.348875958
Ambalapuzha,Alappuzha,61365,50240,22389,591,2436,133382,3639,137021,11125,LDF,44.78510593,36.66591252,16.33983112,0.431320746,2.655797287,8.119193408
Aroor,Alappuzha,75617,68604,17479,846,1945,160851,3640,164491,7013,LDF,45.97029625,41.7068411,10.62611328,0.514313853,2.212887027,4.263455143
Chengannur,Alappuzha,71502,39409,34620,491,1149,142958,4213,147171,32093,LDF,48.5842999,26.77769398,23.52365616,0.33362551,2.862656366,21.80660592
Cherthala,Alappuzha,83702,77554,14562,602,1677,172214,5883,178097,6148,LDF,46.99798424,43.54593283,8.176443174,0.338018046,3.303256091,3.45205141
Haripad,Alappuzha,59102,72768,17890,536,327,145585,5038,150623,13666,UDF,39.23836333,48.31134687,11.87733613,0.355855347,3.344774702,9.072983542
Kayamkulam,Alappuzha,77348,71050,11413,420,1026,156701,4556,161257,6298,LDF,47.96566971,44.06010282,7.077522216,0.26045381,2.825303708,3.90556689
Kuttanadu,Alappuzha,57379,51863,14946,523,925,121355,4281,125636,5516,LDF,45.67082683,41.2803655,11.89627177,0.416281957,3.407462829,4.390461333
Mavelikkara,Alappuzha,71743,47026,30955,519,447,146030,4660,150690,24717,LDF,47.60966222,31.20711394,20.54217267,0.344415688,3.092441436,16.40254828
Aluva,Ernakulam,54817,73703,15893,939,5076,148130,2298,150428,18886,UDF,36.44068923,48.99553275,10.56518733,0.624218895,1.527641131,12.55484351
Angamaly,Ernakulam,55633,71562,8677,669,1456,135412,2585,137997,15929,UDF,40.31464452,51.85764908,6.287817851,0.484793148,1.873229128,11.54300456
Ernakulam,Ernakulam,34960,45930,16043,712,12453,108434,1664,110098,10970,UDF,31.75352867,41.71737906,14.57156352,0.646696579,1.51138077,9.963850388
Kalamassery,Ernakulam,77141,61805,11179,1518,4220,153259,2604,155863,15336,LDF,49.49282383,39.65341357,7.172324413,0.973932235,1.670697985,9.839410251
Kochi,Ernakulam,54632,40553,10991,474,22053,126999,1704,128703,14079,LDF,42.44811698,31.50897803,8.539816477,0.368289783,1.323978462,10.93913895
